FECHA;DEMANDA_GBA;TEMP_AVG;TIPO_DIA
2021-01-01;116060;26.73;F
2021-01-02;143622;27.83;SA
2021-01-03;142036;26.95;D
2021-01-04;159585;25.91;H
2021-01-05;160567;25.18;H
2021-01-06;135331;22.82;H
2021-01-07;142220;25.78;H
2021-01-08;153265;26.15;H
2021-01-09;131715;24.1;SA
2021-01-10;140509;27.11;D
2021-01-11;133311;21.55;H
2021-01-12;121947;21.08;H
2021-01-13;126011;22.59;H
2021-01-14;131681;23.47;H
2021-01-15;129689;21.92;H
2021-01-16;124336;24.21;SA
2021-01-17;103307;21.24;D
2021-01-18;131389;23.65;H
2021-01-19;154056;27.22;H
2021-01-20;167442;27.79;H
2021-01-21;168315;26.68;H
2021-01-22;170625;26.83;H
2021-01-23;168404;28.88;SA
2021-01-24;168319;29.8;D
2021-01-25;197975;30.55;H
2021-01-26;195612;29.63;H
2021-01-27;177790;27.34;H
2021-01-28;151859;24.51;H
2021-01-29;146135;24.05;H
2021-01-30;119486;20.07;SA
2021-01-31;99236;19.08;D
2021-02-01;118898;20.45;H
2021-02-02;123450;21.7;H
2021-02-03;125668;22.55;H
2021-02-04;127018;23.23;H
2021-02-05;129223;22.35;H
2021-02-06;129210;23.1;SA
2021-02-07;135840;26.6;D
2021-02-08;134558;22.14;H
2021-02-09;124766;21.02;H
2021-02-10;126583;21.9;H
2021-02-11;131139;22.47;H
2021-02-12;136247;23.72;H
2021-02-13;126300;23.19;SA
2021-02-14;117674;23.68;D
2021-02-15;114960;23;F
2021-02-16;107303;21.1;F
2021-02-17;124234;22.05;H
2021-02-18;143002;24.92;H
2021-02-19;142720;24.96;H
2021-02-20;115977;20.8;SA
2021-02-21;120351;24.91;D
2021-02-22;141217;23.72;H
2021-02-23;140338;23.3;H
2021-02-24;143977;24.37;H
2021-02-25;155820;25.57;H
2021-02-26;162530;27.38;H
2021-02-27;146264;25.91;SA
2021-02-28;138373;25.99;D
2021-03-01;161942;25.89;H
2021-03-02;169465;26.07;H
2021-03-03;169098;25.97;H
2021-03-04;166838;25.6;H
2021-03-05;140683;22.3;H
2021-03-06;118902;20.71;SA
2021-03-07;118068;23.51;D
2021-03-08;151532;25.98;H
2021-03-09;136570;21.1;H
2021-03-10;146032;24.2;H
2021-03-11;151933;25.81;H
2021-03-12;151693;24.17;H
2021-03-13;129079;23.78;SA
2021-03-14;121024;24.88;D
2021-03-15;141095;24.06;H
2021-03-16;134732;22.53;H
2021-03-17;123101;18.53;H
2021-03-18;118808;15.82;H
2021-03-19;119958;18.52;H
2021-03-20;110052;19.22;SA
2021-03-21;101213;19.3;D
2021-03-22;118092;19.47;H
2021-03-23;123624;20.87;H
2021-03-24;116859;23.2;F
2021-03-25;126362;20.83;H
2021-03-26;125529;21.27;H
2021-03-27;112722;20.58;SA
2021-03-28;103843;20.63;D
2021-03-29;120869;20.03;H
2021-03-30;122336;19.21;H
2021-03-31;122236;19.84;H
2021-04-01;116973;20.96;SA
2021-04-02;104789;21.2;F
2021-04-03;105799;21.96;SA
2021-04-04;102385;22.27;D
2021-04-05;130124;24.12;H
2021-04-06;139677;24.33;H
2021-04-07;144984;25.43;H
2021-04-08;137832;23.72;H
2021-04-09;129820;21.6;H
2021-04-10;115593;21.3;SA
2021-04-11;104105;18.71;D
2021-04-12;120094;18.38;H
2021-04-13;122543;18.88;H
2021-04-14;122918;19.03;H
2021-04-15;124825;20.61;H
2021-04-16;123516;20.74;H
2021-04-17;112515;21.03;SA
2021-04-18;103345;19.84;D
2021-04-19;119806;21.55;H
2021-04-20;123269;21.53;H
2021-04-21;123447;21.79;H
2021-04-22;123337;21.67;H
2021-04-23;123984;22.01;H
2021-04-24;109188;18.18;SA
2021-04-25;102385;16.15;D
2021-04-26;120629;16.04;H
2021-04-27;123999;16.28;H
2021-04-28;124270;17.89;H
2021-04-29;123339;18.81;H
2021-04-30;121489;19.22;H
2021-05-01;102609;20.02;F
2021-05-02;101263;21.02;D
2021-05-03;120399;20.93;H
2021-05-04;128366;14.3;H
2021-05-05;140214;11.96;H
2021-05-06;148638;11.62;H
2021-05-07;148881;11.6;H
2021-05-08;132196;15.36;SA
2021-05-09;124660;15.26;D
2021-05-10;144894;14.35;H
2021-05-11;156904;11.35;H
2021-05-12;157939;12.68;H
2021-05-13;154741;13.83;H
2021-05-14;150785;13.35;H
2021-05-15;139486;12.52;SA
2021-05-16;134192;12.99;D
2021-05-17;154580;12.28;H
2021-05-18;159621;11.91;H
2021-05-19;159840;13.32;H
2021-05-20;153874;15.18;H
2021-05-21;159685;14.37;H
2021-05-22;151371;13.76;SA
2021-05-23;148229;12.9;D
2021-05-24;147305;13;F
2021-05-25;141604;13.35;F
2021-05-26;156815;12.45;H
2021-05-27;146288;16.83;H
2021-05-28;140825;16.47;H
2021-05-29;147361;11.48;SA
2021-05-30;150003;10.4;D
2021-05-31;159314;15.24;H
2021-06-01;153327;16.27;H
2021-06-02;155912;13.38;H
2021-06-03;160202;13.54;H
2021-06-04;148701;17.26;H
2021-06-05;139675;14.11;SA
2021-06-06;146307;10.73;D
2021-06-07;165920;12.93;H
2021-06-08;155629;15.5;H
2021-06-09;148819;16.45;H
2021-06-10;145876;15.73;H
2021-06-11;163936;11.43;H
2021-06-12;138745;16.14;SA
2021-06-13;121979;17.23;D
2021-06-14;151019;14.22;H
2021-06-15;177025;8.9;H
2021-06-16;193170;7.38;H
2021-06-17;195322;7.23;H
2021-06-18;198296;6.25;H
2021-06-19;179585;7.08;SA
2021-06-20;164184;8.05;F
2021-06-21;173833;10.42;F
2021-06-22;171858;13.33;H
2021-06-23;173007;14;H
2021-06-24;167124;13.81;H
2021-06-25;167043;11.95;H
2021-06-26;167811;10.85;SA
2021-06-27;181405;6.81;D
2021-06-28;211022;7.65;H
2021-06-29;212139;8.08;H
2021-06-30;208289;7.54;H
2021-07-01;205020;9.22;H
2021-07-02;189321;10.69;H
2021-07-03;170983;10.87;SA
2021-07-04;158131;10.5;D
2021-07-05;178578;10.69;H
2021-07-06;184077;11.96;H
2021-07-07;166665;15.18;H
2021-07-08;153184;15.5;H
2021-07-09;124868;18.88;F
2021-07-10;123718;15.64;SA
2021-07-11;140203;11.05;D
2021-07-12;156274;15.35;H
2021-07-13;162807;13.23;H
2021-07-14;183083;11.23;H
2021-07-15;173128;11.91;H
2021-07-16;175026;10.5;H
2021-07-17;169449;10.08;SA
2021-07-18;173482;8.52;D
2021-07-19;192145;7.74;H
2021-07-20;185378;10.98;H
2021-07-21;174627;12.82;H
2021-07-22;164990;14.18;H
2021-07-23;148037;17.02;H
2021-07-24;135733;14.73;SA
2021-07-25;133412;15.27;D
2021-07-26;161192;11.72;H
2021-07-27;190211;8.05;H
2021-07-28;200866;7.56;H
2021-07-29;194778;8.1;H
2021-07-30;184412;11.13;H
2021-07-31;159992;11.18;SA
2021-08-01;151481;10.27;D
2021-08-02;172134;10.25;H
2021-08-03;171566;12.03;H
2021-08-04;169681;11.35;H
2021-08-05;178389;11.53;H
2021-08-06;155148;15.95;H
2021-08-07;124343;19.05;SA
2021-08-08;138388;12.34;D
2021-08-09;192438;8.43;H
2021-08-10;196738;6.85;H
2021-08-11;191247;8.9;H
2021-08-12;189259;8.57;H
2021-08-13;184285;9.81;H
2021-08-14;157437;11.55;SA
2021-08-15;145690;10.68;D
2021-08-16;142654;13.55;F
2021-08-17;146016;15.66;H
2021-08-18;144401;15.01;H
2021-08-19;149335;14.83;H
2021-08-20;144215;15.13;H
2021-08-21;140407;13.25;SA
2021-08-22;123255;16.25;D
2021-08-23;154674;11.35;H
2021-08-24;161773;11.05;H
2021-08-25;159848;11.74;H
2021-08-26;154984;14.41;H
2021-08-27;152176;12.81;H
2021-08-28;135823;14.88;SA
2021-08-29;120756;14.93;D
2021-08-30;130748;18.21;H
2021-08-31;126000;22.19;H
2021-09-01;128754;18.46;H
2021-09-02;144350;14.75;H
2021-09-03;142160;14.8;H
2021-09-04;135034;14.3;SA
2021-09-05;125124;14.18;D
2021-09-06;145504;15.04;H
2021-09-07;153692;15.26;H
2021-09-08;156796;15.44;H
2021-09-09;160017;13.63;H
2021-09-10;160517;13.26;H
2021-09-11;133602;15.39;SA
2021-09-12;115329;18.75;D
2021-09-13;135304;16.13;H
2021-09-14;141885;14.46;H
2021-09-15;142080;14.25;H
2021-09-16;131817;18.01;H
2021-09-17;125293;18.45;H
2021-09-18;112844;18.15;SA
2021-09-19;106376;17.18;D
2021-09-20;127726;16.58;H
2021-09-21;139169;12.26;H
2021-09-22;149134;13.53;H
2021-09-23;139823;16.06;H
2021-09-24;132820;15.23;H
2021-09-25;118252;16.7;SA
2021-09-26;105415;19.99;D
2021-09-27;131165;14.99;H
2021-09-28;144695;13.97;H
2021-09-29;134493;17.35;H
2021-09-30;137461;16.6;H
2021-10-01;129693;17.54;H
2021-10-02;119997;15.41;SA
2021-10-03;116823;13.09;D
2021-10-04;132089;15.12;H
2021-10-05;127871;18.23;H
2021-10-06;130895;15.05;H
2021-10-07;134955;12.04;H
2021-10-08;122879;14.03;F
2021-10-09;113866;15.98;SA
2021-10-10;104857;17.25;D
2021-10-11;108850;17.75;F
2021-10-12;123900;16.88;H
2021-10-13;127482;16.95;H
2021-10-14;128411;16.35;H
2021-10-15;127231;15.09;H
2021-10-16;115175;15.72;SA
2021-10-17;101831;18.05;D
2021-10-18;120177;17.45;H
2021-10-19;124196;17.65;H
2021-10-20;124717;19.8;H
2021-10-21;125426;22.05;H
2021-10-22;124242;20.28;H
2021-10-23;112085;17.78;SA
2021-10-24;103010;18.72;D
2021-10-25;124005;23.56;H
2021-10-26;141173;26.76;H
2021-10-27;158812;27.68;H
2021-10-28;170401;27.58;H
2021-10-29;159546;25.87;H
2021-10-30;148590;25.52;SA
2021-10-31;111824;18.98;D
2021-11-01;121203;17.4;H
2021-11-02;125861;19.4;H
2021-11-03;129822;21.88;H
2021-11-04;136511;23.04;H
2021-11-05;123770;17.96;H
2021-11-06;110656;16.7;SA
2021-11-07;102630;19.25;D
2021-11-08;127931;21.98;H
2021-11-09;129071;19.65;H
2021-11-10;126411;20.19;H
2021-11-11;127197;21.03;H
2021-11-12;125845;20.52;H
2021-11-13;117442;22.4;SA
2021-11-14;107880;22.18;D
2021-11-15;140582;23.83;H
2021-11-16;127965;18.62;H
2021-11-17;121564;15.93;H
2021-11-18;124788;19.67;H
2021-11-19;133443;23.59;H
2021-11-20;127896;24.17;F
2021-11-21;138460;29.06;D
2021-11-22;148076;28.7;F
2021-11-23;131178;20.3;H
2021-11-24;150439;25.8;H
2021-11-25;141657;22.24;H
2021-11-26;140086;22.78;H
2021-11-27;129355;23.11;SA
2021-11-28;111690;20.22;D
2021-11-29;124473;21.09;H
2021-11-30;128555;21.08;H
2021-12-01;126619;19.64;H
2021-12-02;131274;21.36;H
2021-12-03;130718;22.08;H
2021-12-04;118961;21.98;SA
2021-12-05;110128;21.7;D
2021-12-06;133418;22.4;H
2021-12-07;142960;24.06;H
2021-12-08;129312;23.53;F
2021-12-09;143667;23.25;H
2021-12-10;139945;22.75;H
2021-12-11;135220;24.54;SA
2021-12-12;132348;25.44;D
2021-12-13;147608;24.31;H
2021-12-14;144746;23.6;H
2021-12-15;142822;22.98;H
2021-12-16;140033;21.53;H
2021-12-17;143009;23.02;H
2021-12-18;135778;23;SA
2021-12-19;136501;25.56;D
2021-12-20;167987;25.88;H
2021-12-21;144025;25.3;H
