FECHA;DEMANDA_GBA;TEMP_APARENTE_AVG;TIPO_DIA
2021-01-01;116060;25.73;F
2021-01-02;143622;27.6;SA
2021-01-03;142036;26.22;D
2021-01-04;159585;26.35;H
2021-01-05;160567;27.89;H
2021-01-06;135331;23.91;H
2021-01-07;142220;25.58;H
2021-01-08;153265;25.88;H
2021-01-09;131715;24.66;SA
2021-01-10;140509;27.8;D
2021-01-11;133311;22.71;H
2021-01-12;121947;18.37;H
2021-01-13;126011;20.54;H
2021-01-14;131681;21.01;H
2021-01-15;129689;21.73;H
2021-01-16;124336;26.13;SA
2021-01-17;103307;19.14;D
2021-01-18;131389;23.45;H
2021-01-19;154056;26.65;H
2021-01-20;167442;27.84;H
2021-01-21;168315;27.19;H
2021-01-22;170625;27.65;H
2021-01-23;168404;30.48;SA
2021-01-24;168319;31.7;D
2021-01-25;197975;31.74;H
2021-01-26;195612;31.5;H
2021-01-27;177790;28.13;H
2021-01-28;151859;25.43;H
2021-01-29;146135;25.97;H
2021-01-30;119486;20.4;SA
2021-01-31;99236;16.69;D
2021-02-01;118898;22.21;H
2021-02-02;123450;23.13;H
2021-02-03;125668;23.53;H
2021-02-04;127018;22.34;H
2021-02-05;129223;21.85;H
2021-02-06;129210;24.78;SA
2021-02-07;135840;28.01;D
2021-02-08;134558;22.58;H
2021-02-09;124766;20.52;H
2021-02-10;126583;22.66;H
2021-02-11;131139;24.3;H
2021-02-12;136247;25.87;H
2021-02-13;126300;25.68;SA
2021-02-14;117674;26.09;D
2021-02-15;114960;23.36;F
2021-02-16;107303;20.69;F
2021-02-17;124234;22.85;H
2021-02-18;143002;26.65;H
2021-02-19;142720;24.53;H
2021-02-20;115977;19.03;SA
2021-02-21;120351;25.09;D
2021-02-22;141217;25.47;H
2021-02-23;140338;24.66;H
2021-02-24;143977;25.14;H
2021-02-25;155820;26.47;H
2021-02-26;162530;28.28;H
2021-02-27;146264;26.25;SA
2021-02-28;138373;25.79;D
2021-03-01;161942;27.64;H
2021-03-02;169465;28.93;H
2021-03-03;169098;28.32;H
2021-03-04;166838;28.35;H
2021-03-05;140683;21.35;H
2021-03-06;118902;20.58;SA
2021-03-07;118068;24.6;D
2021-03-08;151532;27.58;H
2021-03-09;136570;20.81;H
2021-03-10;146032;25.53;H
2021-03-11;151933;26.73;H
2021-03-12;151693;25.76;H
2021-03-13;129079;23.68;SA
2021-03-14;121024;24.5;D
2021-03-15;141095;24.96;H
2021-03-16;134732;23.85;H
2021-03-17;123101;17.2;H
2021-03-18;118808;14.33;H
2021-03-19;119958;17.39;H
2021-03-20;110052;20.26;SA
2021-03-21;101213;20.01;D
2021-03-22;118092;19.84;H
2021-03-23;123624;21.72;H
2021-03-24;116859;24.75;F
2021-03-25;126362;22.73;H
2021-03-26;125529;23.74;H
2021-03-27;112722;22.4;SA
2021-03-28;103843;22.24;D
2021-03-29;120869;20.56;H
2021-03-30;122336;19.32;H
2021-03-31;122236;19.72;H
2021-04-01;116973;20.91;SA
2021-04-02;104789;21.53;F
2021-04-03;105799;22.25;SA
2021-04-04;102385;23.45;D
2021-04-05;130124;26.08;H
2021-04-06;139677;26.81;H
2021-04-07;144984;26.93;H
2021-04-08;137832;25.13;H
2021-04-09;129820;24.71;H
2021-04-10;115593;23.39;SA
2021-04-11;104105;18.43;D
2021-04-12;120094;18.25;H
2021-04-13;122543;18.98;H
2021-04-14;122918;19.1;H
2021-04-15;124825;22.4;H
2021-04-16;123516;22.28;H
2021-04-17;112515;22.68;SA
2021-04-18;103345;20.68;D
2021-04-19;119806;21.05;H
2021-04-20;123269;21.11;H
2021-04-21;123447;20.25;H
2021-04-22;123337;21.51;H
2021-04-23;123984;22.07;H
2021-04-24;109188;18.12;SA
2021-04-25;102385;15.32;D
2021-04-26;120629;16.06;H
2021-04-27;123999;16.04;H
2021-04-28;124270;17.6;H
2021-04-29;123339;18.5;H
2021-04-30;121489;18.43;H
2021-05-01;102609;20.04;F
2021-05-02;101263;21.72;D
2021-05-03;120399;22.04;H
2021-05-04;128366;11.6;H
2021-05-05;140214;8.89;H
2021-05-06;148638;9.38;H
2021-05-07;148881;10.05;H
2021-05-08;132196;13.85;SA
2021-05-09;124660;14.93;D
2021-05-10;144894;12.79;H
2021-05-11;156904;9.27;H
2021-05-12;157939;10.46;H
2021-05-13;154741;11.9;H
2021-05-14;150785;12.16;H
2021-05-15;139486;11.68;SA
2021-05-16;134192;12.21;D
2021-05-17;154580;11.24;H
2021-05-18;159621;10.75;H
2021-05-19;159840;11.62;H
2021-05-20;153874;13.75;H
2021-05-21;159685;12.09;H
2021-05-22;151371;12.43;SA
2021-05-23;148229;8.82;D
2021-05-24;147305;10.53;F
2021-05-25;141604;11.41;F
2021-05-26;156815;10.17;H
2021-05-27;146288;15.29;H
2021-05-28;140825;14.6;H
2021-05-29;147361;8.41;SA
2021-05-30;150003;7.89;D
2021-05-31;159314;12.84;H
2021-06-01;153327;14.33;H
2021-06-02;155912;11.55;H
2021-06-03;160202;11.62;H
2021-06-04;148701;17.23;H
2021-06-05;139675;12.51;SA
2021-06-06;146307;8.3;D
2021-06-07;165920;11.24;H
2021-06-08;155629;14.54;H
2021-06-09;148819;16.99;H
2021-06-10;145876;14.54;H
2021-06-11;163936;8.7;H
2021-06-12;138745;14.69;SA
2021-06-13;121979;15.71;D
2021-06-14;151019;12.45;H
2021-06-15;177025;5.9;H
2021-06-16;193170;4.36;H
2021-06-17;195322;4.25;H
2021-06-18;198296;3.7;H
2021-06-19;179585;4.97;SA
2021-06-20;164184;6.25;F
2021-06-21;173833;8.82;F
2021-06-22;171858;11.83;H
2021-06-23;173007;12.85;H
2021-06-24;167124;12.49;H
2021-06-25;167043;10.34;H
2021-06-26;167811;7.88;SA
2021-06-27;181405;3.2;D
2021-06-28;211022;3.79;H
2021-06-29;212139;4.78;H
2021-06-30;208289;4.68;H
2021-07-01;205020;6.6;H
2021-07-02;189321;8.78;H
2021-07-03;170983;7.76;SA
2021-07-04;158131;8.18;D
2021-07-05;178578;9.06;H
2021-07-06;184077;10.18;H
2021-07-07;166665;15.01;H
2021-07-08;153184;15;H
2021-07-09;124868;18.18;F
2021-07-10;123718;13.2;SA
2021-07-11;140203;8.6;D
2021-07-12;156274;15.37;H
2021-07-13;162807;11.69;H
2021-07-14;183083;9.01;H
2021-07-15;173128;10.79;H
2021-07-16;175026;8.47;H
2021-07-17;169449;6.23;SA
2021-07-18;173482;3.21;D
2021-07-19;192145;5.22;H
2021-07-20;185378;7.66;H
2021-07-21;174627;10.11;H
2021-07-22;164990;11.9;H
2021-07-23;148037;16.05;H
2021-07-24;135733;13.25;SA
2021-07-25;133412;13.92;D
